id,member_id,loan_amnt,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,title,zip_code,addr_state,last_pymnt_d,last_pymnt_amnt,next_pymnt_d
1032111,1261745,4375, 36 months,7.51%,136.11,A,John Wiley Jr.,7 years,MORTGAGE,17108,12/1/2011,Current,debt_consolidation,Debt Consolidation,141xx,NY,14-Nov,136.11,14-Dec
1069539,1304608,31825, 36 months,7.90%,995.82,A,Audubon Mutual Housing Corporation,5 years,MORTGAGE,75000,12/1/2011,Fully Paid,debt_consolidation,Debt Consolidation Loan,080xx,NJ,13-Aug,16966.7,15-Jan
1065420,1299514,10000, 60 months,15.96%,242.97,C,US Legal Support,2 years,RENT,29120,12/1/2011,Current,debt_consolidation,Brown Eyes Loan,330xx,FL,14-Nov,242.97,14-Dec
1069591,1304289,5000, 36 months,8.90%,158.77,A,Good Samaritan Society,2 years,RENT,24044,12/1/2011,Current,debt_consolidation,Consolidation,974xx,OR,14-Nov,158.77,14-Dec
1069530,1291365,7000, 36 months,15.96%,245.97,C,GREG BARRETT DRYWALL,7 years,RENT,34000,12/1/2011,Current,credit_card,Credit Card Loan,934xx,CA,14-Nov,245.97,14-Dec
1069522,1304589,12400, 36 months,10.65%,403.91,B,Sharp Lawn Inc.,10+ years,RENT,41000,12/1/2011,Current,credit_card,December 2011 Credit Card Loan,405xx,KY,14-Nov,403.91,14-Dec
1069361,1304255,10800, 36 months,9.91%,348.03,B,Department of Justice,2 years,RENT,55596,12/1/2011,Fully Paid,moving,Moving to better job; help a veteran!,946xx,CA,13-Nov,3483.79,15-Jan
1069357,1304251,15000, 36 months,7.90%,469.36,A,Gateway Hospice,1 year,RENT,45000,12/1/2011,Fully Paid,debt_consolidation,Debt Consolidation Loan,445xx,OH,14-Jan,5872.8,15-Jan
1069356,1304250,6000, 36 months,12.42%,200.5,B,Cox Communications,1 year,RENT,36852,12/1/2011,Fully Paid,debt_consolidation,Credit Card Consolidation,850xx,AZ,14-Apr,1923.53,15-Jan
1069346,1304237,12500, 60 months,12.69%,282.44,B,United States Infrastructure Corporation,1 year,RENT,27000,12/1/2011,Current,debt_consolidation,Credit card debt,604xx,IL,14-Nov,282.44,14-Dec
1067573,1301955,9600, 36 months,7.51%,298.67,A,Nucor Building Systems,4 years,RENT,68004,12/1/2011,Current,other,Other Loan,292xx,SC,14-Nov,298.67,14-Dec
1069506,1304567,12000, 36 months,7.90%,375.49,A,John Wiley Jr.,10+ years,RENT,62300,12/1/2011,Current,debt_consolidation,Debt Consolidation,088xx,NJ,14-Nov,375.49,14-Dec
1069314,1304202,3000, 36 months,18.25%,108.84,D,Sharp Lawn Inc.,9 years,MORTGAGE,65000,12/1/2011,Current,other,Year End Cleanup,180xx,PA,14-Nov,108.84,14-Dec
1060578,1292332,4400, 36 months,16.77%,156.37,D,citizens bank,10+ years,RENT,55000,12/1/2011,Current,debt_consolidation,debt,029xx,RI,14-Nov,156.37,14-Dec
1069469,1304526,6000, 36 months,6.03%,182.62,A,"Stewart Enterprises, Inc.",10+ years,MORTGAGE,45600,12/1/2011,Fully Paid,debt_consolidation,Debt-Consolidation ,700xx,LA,12-Jul,15.01,15-Jan
1051117,1282787,14000, 36 months,9.91%,451.15,B,golfers warehouse,6 years,RENT,80000,12/1/2011,Current,small_business,Small Business Loan,010xx,MA,14-Nov,451.15,14-Dec
1069465,1304521,5000, 36 months,8.90%,158.77,A,STERIS Corporation,10+ years,MORTGAGE,100000,12/1/2011,Late(31-120 days),debt_consolidation,Debt Consolidation for a better life,441xx,OH,14-Aug,158.77,14-Dec
1069283,1304166,10000, 36 months,10.65%,325.74,B,Costco Wholesale Corp.,6 years,RENT,27000,12/1/2011,Current,other,Other Loan,104xx,NY,14-Nov,325.74,14-Dec
